labels_cat,labels
stop,35
speedLimitUrdbl,34
stop,35
speedLimit25,26
speedLimit25,26
speedLimit25,26
speedLimit25,26
speedLimit25,26
speedLimit25,26
speedLimit25,26
speedLimit25,26
speedLimit25,26
speedLimit25,26
speedLimit25,26
speedLimit25,26
speedLimit25,26
speedLimit25,26
speedLimit25,26
speedLimit25,26
speedLimit25,26
speedLimit25,26
speedLimit25,26
speedLimit25,26
speedLimit25,26
speedLimit25,26
speedLimit25,26
speedLimit25,26
speedLimit25,26
speedLimit25,26
speedLimit25,26
speedLimit25,26
speedLimit25,26
speedLimit25,26
speedLimit25,26
speedLimit25,26
stop,35
stop,35
stop,35
stop,35
stop,35
stop,35
stop,35
stop,35
stop,35
stop,35
stop,35
stop,35
pedestrianCrossing,12
stop,35
pedestrianCrossing,12
stop,35
pedestrianCrossing,12
stop,35
pedestrianCrossing,12
stop,35
pedestrianCrossing,12
stop,35
pedestrianCrossing,12
pedestrianCrossing,12
pedestrianCrossing,12
pedestrianCrossing,12
pedestrianCrossing,12
pedestrianCrossing,12
pedestrianCrossing,12
pedestrianCrossing,12
pedestrianCrossing,12
pedestrianCrossing,12
pedestrianCrossing,12
pedestrianCrossing,12
pedestrianCrossing,12
pedestrianCrossing,12
pedestrianCrossing,12
pedestrianCrossing,12
pedestrianCrossing,12
pedestrianCrossing,12
pedestrianCrossing,12
pedestrianCrossing,12
pedestrianCrossing,12
pedestrianCrossing,12
pedestrianCrossing,12
pedestrianCrossing,12
pedestrianCrossing,12
pedestrianCrossing,12
pedestrianCrossing,12
pedestrianCrossing,12
pedestrianCrossing,12
pedestrianCrossing,12
pedestrianCrossing,12
pedestrianCrossing,12
pedestrianCrossing,12
stop,35
pedestrianCrossing,12
stop,35
pedestrianCrossing,12
stop,35
pedestrianCrossing,12
stop,35
pedestrianCrossing,12
stop,35
pedestrianCrossing,12
stop,35
pedestrianCrossing,12
stop,35
pedestrianCrossing,12
pedestrianCrossing,12
pedestrianCrossing,12
pedestrianCrossing,12
pedestrianCrossing,12
pedestrianCrossing,12
pedestrianCrossing,12
pedestrianCrossing,12
pedestrianCrossing,12
pedestrianCrossing,12
pedestrianCrossing,12
pedestrianCrossing,12
pedestrianCrossing,12
pedestrianCrossing,12
pedestrianCrossing,12
pedestrianCrossing,12
pedestrianCrossing,12
pedestrianCrossing,12
pedestrianCrossing,12
pedestrianCrossing,12
pedestrianCrossing,12
pedestrianCrossing,12
pedestrianCrossing,12
pedestrianCrossing,12
pedestrianCrossing,12
pedestrianCrossing,12
pedestrianCrossing,12
pedestrianCrossing,12
pedestrianCrossing,12
pedestrianCrossing,12
pedestrianCrossing,12
pedestrianCrossing,12
pedestrianCrossing,12
stop,35
stop,35
stop,35
stop,35
stop,35
stop,35
stop,35
stop,35
stop,35
stop,35
stop,35
speedLimit35,28
speedLimit35,28
speedLimit35,28
speedLimit35,28
speedLimit35,28
speedLimit35,28
speedLimit35,28
speedLimit35,28
speedLimit35,28
speedLimit35,28
speedLimit35,28
speedLimit35,28
speedLimit35,28
speedLimit35,28
speedLimit35,28
speedLimit35,28
speedLimit35,28
speedLimit35,28
speedLimit35,28
speedLimit35,28
speedLimit35,28
speedLimit35,28
turnLeft,41
turnLeft,41
turnLeft,41
turnLeft,41
turnLeft,41
turnLeft,41
turnLeft,41
turnLeft,41
turnLeft,41
turnLeft,41
slow,24
turnLeft,41
slow,24
turnLeft,41
slow,24
turnLeft,41
slow,24
turnLeft,41
slow,24
turnLeft,41
slow,24
turnLeft,41
slow,24
turnLeft,41
slow,24
turnLeft,41
slow,24
turnLeft,41
slow,24
turnLeft,41
slow,24
turnLeft,41
slow,24
turnLeft,41
slow,24
speedLimit15,25
speedLimit15,25
speedLimit15,25
speedLimit15,25
speedLimit15,25
speedLimit15,25
speedLimit15,25
speedLimit15,25
speedLimit15,25
speedLimit15,25
speedLimit15,25
stop,35
stop,35
stop,35
stop,35
stop,35
stop,35
stop,35
stop,35
stop,35
stop,35
stop,35
stop,35
stop,35
stop,35
stop,35
stop,35
stop,35
stop,35
stop,35
stop,35
stop,35
stop,35
stop,35
stop,35
stop,35
stop,35
stop,35
stop,35
stop,35
stop,35
stop,35
stop,35
stop,35
stop,35
stop,35
stop,35
stop,35
stop,35
stop,35
stop,35
stop,35
stop,35
stop,35
stop,35
stop,35
stop,35
stop,35
stop,35
stop,35
stop,35
stop,35
stop,35
stop,35
stop,35
stop,35
stop,35
stop,35
stop,35
stop,35
stop,35
stop,35
stop,35
stop,35
stop,35
stop,35
stop,35
stop,35
stop,35
stop,35
speedLimit45,30
speedLimit45,30
speedLimit45,30
speedLimit45,30
speedLimit45,30
speedLimit45,30
speedLimit45,30
speedLimit45,30
rightLaneMustTurn,19
rightLaneMustTurn,19
rightLaneMustTurn,19
rightLaneMustTurn,19
rightLaneMustTurn,19
rightLaneMustTurn,19
rightLaneMustTurn,19
rightLaneMustTurn,19
rightLaneMustTurn,19
rightLaneMustTurn,19
rightLaneMustTurn,19
rightLaneMustTurn,19
rightLaneMustTurn,19
rightLaneMustTurn,19
rightLaneMustTurn,19
signalAhead,23
signalAhead,23
signalAhead,23
signalAhead,23
signalAhead,23
signalAhead,23
signalAhead,23
signalAhead,23
signalAhead,23
signalAhead,23
signalAhead,23
signalAhead,23
signalAhead,23
signalAhead,23
signalAhead,23
signalAhead,23
signalAhead,23
signalAhead,23
signalAhead,23
signalAhead,23
signalAhead,23
signalAhead,23
signalAhead,23
signalAhead,23
signalAhead,23
signalAhead,23
signalAhead,23
signalAhead,23
signalAhead,23
signalAhead,23
signalAhead,23
signalAhead,23
signalAhead,23
signalAhead,23
signalAhead,23
signalAhead,23
signalAhead,23
signalAhead,23
signalAhead,23
signalAhead,23
signalAhead,23
signalAhead,23
signalAhead,23
signalAhead,23
signalAhead,23
signalAhead,23
signalAhead,23
signalAhead,23
signalAhead,23
signalAhead,23
signalAhead,23
signalAhead,23
signalAhead,23
signalAhead,23
signalAhead,23
signalAhead,23
signalAhead,23
signalAhead,23
signalAhead,23
signalAhead,23
signalAhead,23
signalAhead,23
signalAhead,23
signalAhead,23
signalAhead,23
signalAhead,23
signalAhead,23
signalAhead,23
signalAhead,23
pedestrianCrossing,12
signalAhead,23
pedestrianCrossing,12
signalAhead,23
pedestrianCrossing,12
signalAhead,23
pedestrianCrossing,12
signalAhead,23
signalAhead,23
signalAhead,23
signalAhead,23
signalAhead,23
signalAhead,23
signalAhead,23
signalAhead,23
signalAhead,23
signalAhead,23
signalAhead,23
signalAhead,23
signalAhead,23
signalAhead,23
signalAhead,23
signalAhead,23
signalAhead,23
signalAhead,23
signalAhead,23
signalAhead,23
signalAhead,23
